datatime,acc_x,acc_y,acc_z,label,subject_id
2021-10-27 16:13:20.093750+00:00,-18,5,38,downstairs,2
2021-10-27 16:13:20.125000+00:00,-21,3,38,downstairs,2
2021-10-27 16:13:20.156250+00:00,-21,3,44,downstairs,2
2021-10-27 16:13:20.187500+00:00,-31,5,56,downstairs,2
2021-10-27 16:13:20.218750+00:00,-32,5,57,downstairs,2
2021-10-27 16:13:20.250000+00:00,-38,5,57,downstairs,2
2021-10-27 16:13:20.281250+00:00,-42,6,58,downstairs,2
2021-10-27 16:13:20.312500+00:00,-41,8,67,downstairs,2
2021-10-27 16:13:20.343750+00:00,-40,7,68,downstairs,2
2021-10-27 16:13:20.375000+00:00,-49,8,72,downstairs,2
2021-10-27 16:13:20.406250+00:00,-50,12,70,downstairs,2
2021-10-27 16:13:20.437500+00:00,-42,12,63,downstairs,2
2021-10-27 16:13:20.468750+00:00,-30,9,59,downstairs,2
2021-10-27 16:13:20.500000+00:00,-27,7,60,downstairs,2
2021-10-27 16:13:20.531250+00:00,-27,7,53,downstairs,2
2021-10-27 16:13:20.562500+00:00,-25,6,47,downstairs,2
